#####################################################################################################
# _diffrn_sofware                                   Foxtrot 3.5.10-3979
# data-average
# AbsTimeStamps                                     nan
# TimeStamps                                        0.4491591453552246
# gapTime                                           150.0
# step_global_regrid                                nan
# xmax_global_regrid                                nan
# xmin_global_regrid                                nan
# ymax_global_regrid                                nan
# ymin_global_regrid                                nan
# Input parameters:
# img{0}_AzInt_Px_5
# img{1}_AzInt_Px_6
# img{2}_AzInt_Px_7
# img{3}_AzInt_Px_8
# img{4}_AzInt_Px_9
#
#####################################################################################################
q(A-1)                             I(q)Ave_151_e6_10mM_01092AzInt_Px            Sig(q)Ave_151_e6_10mM_01092AzInt_Px          
0.013220381655041554               0.03153939275644146                          9.878255294340214e-06                        
0.01336727425519928                0.030860464940104797                         9.82470348814574e-06                         
0.013514166837809807               0.030340315111781917                         9.560100197699272e-06                        
0.013661059402680318               0.030017559681108547                         9.585223565195782e-06                        
0.013807951949617979               0.02980230303223545                          9.433602474301065e-06                        
0.013954844478429974               0.02964496685458425                          9.392320053279537e-06                        
0.014101736988923488               0.029591061440938076                         9.311314924557553e-06                        
0.01424862948090569                0.029533885186414553                         9.170030049297125e-06                        
0.01439552195418376                0.029524745278892185                         9.253543900747802e-06                        
0.014542414408564885               0.02947634597605342                          9.19168258512817e-06                         
0.014689306843856229               0.029422072261450306                         9.09990394742289e-06                         
0.01483619925986498                0.02936197665339179                          9.016877796568615e-06                        
0.014983091656398323               0.029236094676608947                         8.932823650674427e-06                        
0.01512998403326342                0.029069110482126025                         8.90727766602327e-06                         
0.01527687639026747                0.028893381318357163                         8.803547994412247e-06                        
0.015423768727217632               0.028657747994311516                         8.774446104352317e-06                        
0.015570661043921099               0.028410425566965613                         8.709243159173432e-06                        
0.015717553340185056               0.028096818291299425                         8.548599384730256e-06                        
0.015864445615816663               0.027781198936931206                         8.526366254566742e-06                        
0.016011337870623116               0.02743011752317013                          8.333523854506875e-06                        
0.016158230104411593               0.02705292028304505                          8.337836682900056e-06                        
0.01630512231698927                0.026664537471960327                         8.192241343097732e-06                        
0.01645201450816333                0.026275693107445597                         8.144257797836488e-06                        
0.01659890667774095                0.02582427457208083                          7.986264357961827e-06                        
0.01674579882552932                0.025409719519575148                         7.893520527454085e-06                        
0.016892690951335613               0.024962707545411238                         7.807045793371831e-06                        
0.01703958305496701                0.024516752805790493                         7.682471533312993e-06                        
0.0171864751362307                 0.024080961684082098                         7.624603526944286e-06                        
0.017333367194933853               0.023606229460847943                         7.496467029874194e-06                        
0.01748025923088366                0.023152936953293957                         7.38323975251851e-06                         
0.017627151243887296               0.022676287655893947                         7.2818822706063764e-06                       
0.01777404323375195                0.022200878237656884                         7.123019829213462e-06                        
0.017920935200284805               0.021733728019864555                         7.057096706228279e-06                        
0.018067827143293035               0.021237992823626605                         6.943733740899569e-06                        
0.018214719062583828               0.02073445873527075                          6.870031218093383e-06                        
0.018361610957964358               0.020227880787193366                         6.732159079759895e-06                        
0.01850850282924182                0.019706526973638692                         6.702025378374538e-06                        
0.0186553946762234                 0.019199956820835203                         6.69139159996164e-06                         
0.018802286498716264               0.01866120156288674                          6.633040290093647e-06                        
0.01894917829652761                0.018102308475664595                         6.523990262255064e-06                        
0.019096070069464607               0.017547562857023587                         6.458786188298238e-06                        
0.019242961817334463               0.016977387277043527                         6.388528687864003e-06                        
0.01938985353994434                0.016392963003706653                         6.399954817641964e-06                        
0.01953674523710143                0.015797590662670082                         6.3056833632855225e-06                       
0.019683636908612922               0.015197837354824727                         6.254089891617711e-06                        
0.019830528554285985               0.01459690551349796                          6.185173875987262e-06                        
0.019977420173927823               0.013992255423850242                         6.093096317930299e-06                        
0.020124311767345616               0.01338763053032339                          5.978535840645743e-06                        
0.020271203334346538               0.012785310485330086                         5.833420052228175e-06                        
0.020418094874737783               0.012189229738457723                         5.754188021199258e-06                        
0.020564986388326545               0.011588571228034228                         5.61062080179801e-06                         
0.02071187787491998                0.01101153871769183                          5.535340642680237e-06                        
0.02085876933432531                0.01045092521261711                          5.379511033274413e-06                        
0.021005660766349705               0.009903474483681205                         5.24519964029234e-06                         
0.021152552170800344               0.009372179937856063                         5.127557860626105e-06                        
0.021299443547484427               0.008858770712672924                         4.993315470582758e-06                        
0.02144633489620914                0.008367049715022343                         4.893096035078064e-06                        
0.021593226216781662               0.007903351702177958                         4.7163718624588895e-06                       
0.02174011750900917                0.007460875975961704                         4.624400144926729e-06                        
0.021887008772698887               0.007049556823201321                         4.529334596534434e-06                        
0.022033900007657963               0.00666313603563388                          4.3163862835086824e-06                       
0.022180791213693606               0.006328859886312009                         4.159491377271956e-06                        
0.02232768239061301                0.005981698664156951                         4.002520771216638e-06                        
0.022474573538223342               0.005683479049496257                         3.874325964768507e-06                        
0.0226214646563318                 0.005407390836464032                         3.7617043775610526e-06                       
0.022768355744745578               0.005146845933504085                         3.661585066126166e-06                        
0.022915246803271856               0.004921295074539634                         3.572321381446195e-06                        
0.023062137831717833               0.004708136087340475                         3.4373658766896023e-06                       
0.023209028829890694               0.004523621635260907                         3.3817380077055823e-06                       
0.023355919797597626               0.0043543266708771814                        3.3056881540962462e-06                       
0.023502810734645826               0.004213484133582875                         3.2494093120223863e-06                       
0.023649701640842482               0.004084618263035419                         3.1993336782334363e-06                       
0.023796592515994773               0.003969072923591466                         3.1152825516578824e-06                       
0.023943483359909905               0.0038751657968488485                        3.0892460398907532e-06                       
0.02409037417239505                0.003786576066207878                         3.025605225692085e-06                        
0.02423726495325742                0.003707156326404455                         3.000061781876786e-06                        
0.024384155702304205               0.0036504638684802053                        2.9728264757541403e-06                       
0.024531046419342582               0.0035932512011928016                        2.928827493615884e-06                        
0.024677937104179752               0.0035479441976536594                        2.91233346918444e-06                         
0.024824827756622904               0.003509869088816351                         2.886617321048096e-06                        
0.024971718376479227               0.003481419181863666                         2.870921337331927e-06                        
0.025118608963555934               0.0034558096760161187                        2.8524740392622987e-06                       
0.025265499517660172               0.0034253337732374186                        2.828238081227576e-06                        
0.025412390038599193               0.0034149080173561464                        2.8239310453699146e-06                       
0.02555928052618014                0.0034020993919268777                        2.801507377717465e-06                        
0.02570617098021024                0.003389409996683779                         2.8191365328699365e-06                       
0.025853061400496664               0.003385473446856606                         2.7668646506683573e-06                       
0.025999951786846626               0.0033820851788924173                        2.793256014519293e-06                        
0.026146842139067306               0.003381412583481215                         2.7780628064213473e-06                       
0.026293732456965892               0.003379514707879725                         2.7772835132214833e-06                       
0.0264406227403496                 0.003380028079199341                         2.762818455939549e-06                        
0.026587512989025622               0.0033814006676092315                        2.747140413908287e-06                        
0.026734403202801137               0.003383881202587429                         2.7571380063936995e-06                       
0.02688129338148335                0.0033880019961320907                        2.7462480115926095e-06                       
0.027028183524879457               0.003389227414795734                         2.7467450579528957e-06                       
0.027175073632796653               0.0033901818726186804                        2.7435714676648694e-06                       
0.027321963705042134               0.0033878626504198405                        2.732037138158783e-06                        
0.027468853741423098               0.0033855306017569232                        2.7310971177424723e-06                       
0.02761574374174674                0.0033819202696412963                        2.7209116686147787e-06                       
0.027762633705820258               0.003378808652507412                         2.6973604066962856e-06                       
0.027909523633450856               0.0033763295956054937                        2.7100237349959166e-06                       
0.028056413524445722               0.0033568420258914314                        2.6919628271662215e-06                       
0.028203303378612057               0.003343404429804587                         2.695068982666753e-06                        
0.02835019319575706                0.0033230915028211205                        2.673351058492086e-06                        
0.028497082975687933               0.003296837944399944                         2.6348183227560446e-06                       
0.028643972718211872               0.0032641907266358463                        2.637994527219887e-06                        
0.028790862423136068               0.003229307116216963                         2.622231077820302e-06                        
0.028937752090267728               0.003193937958507486                         2.588609316614104e-06                        
0.029084641719414054               0.0031484043539243703                        2.5843655731826895e-06                       
0.029231531310382242               0.003098816380944279                         2.538918536976092e-06                        
0.0293784208629795                 0.0030425348131357345                        2.535840172325227e-06                        
0.029525310377013027               0.002980087398968878                         2.479297208638183e-06                        
0.02967219985229                   0.0029163724854943153                        2.455607268529955e-06                        
0.029819089288617654               0.0028394695710774924                        2.433310090377661e-06                        
0.029965978685803182               0.002763057315706114                         2.3744888662527724e-06                       
0.030112868043653766               0.0026831652788275205                        2.3497200536166924e-06                       
0.03025975736197662                0.002604691062815836                         2.2986071060273884e-06                       
0.030406646640578947               0.0025200842143026777                        2.2569641921062995e-06                       
0.03055353587926796                0.0024288367535584055                        2.2222889283182637e-06                       
0.030700425077850847               0.002342336357032931                         2.1746331829171387e-06                       
0.03084731423613482                0.002251594510523597                         2.1283379988913967e-06                       
0.03099420335392707                0.002159717071649686                         2.0856865296561646e-06                       
0.031141092431034818               0.0020684040827962224                        2.021032496573863e-06                        
0.03128798146726526                0.0019793701209291268                        1.995534564510022e-06                        
0.0314348704624256                 0.001884873621114086                         1.9215545579892453e-06                       
0.031581759416323046               0.0018023604451100398                        1.886586275822436e-06                        
0.0317286483287648                 0.0017127938814388676                        1.8552132067896794e-06                       
0.03187553719955805                0.0016351397930953315                        1.7806033457072248e-06                       
0.03202242602851004                0.0015539445359501955                        1.7497422834916693e-06                       
0.032169314815427945               0.001480125919025196                         1.6893299854412058e-06                       
0.032316203560118995               0.001405687173643083                         1.6518861506442306e-06                       
0.032463092262390365               0.0013411139205157254                        1.6162469032452667e-06                       
0.03260998092204929                0.0012755783418199223                        1.562125257197973e-06                        
0.032756869538902965               0.0012170189910931137                        1.53965606443698e-06                         
0.032903758112758606               0.0011607552531745153                        1.4827314507149737e-06                       
0.03305064664342342                0.0011136870561070313                        1.4588206766042652e-06                       
0.03319753513070459                0.0010696826949998064                        1.4273249637397153e-06                       
0.03334442357440936                0.0010302409477460314                        1.3915175942698982e-06                       
